UNDER_CONSTRUCTION,RERA,BHK_NO.,SQUARE_FT,READY_TO_MOVE,RESALE,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS),POSTED_BY_Dealer,POSTED_BY_Owner,BHK_OR_RK_RK
False,False,2,1300.236407,True,True,12.96991,77.59796,55.0,False,True,False
False,False,2,1275.0,True,True,12.274538,76.644605,51.0,True,False,False
False,False,2,933.1597222,True,True,12.778033,77.632191,43.0,False,True,False
False,True,2,929.9211427,True,True,28.6423,77.3445,62.5,False,True,False
True,False,2,999.009247,False,True,22.5922,88.484911,60.5,True,False,False
False,False,3,1250.0,True,True,10.03328,76.28257099999999,42.0,False,True,False
False,False,3,1495.053957,True,True,26.916347,75.7956,66.5,True,False,False
False,True,3,1181.012946,True,True,30.74,76.65,52.0,False,True,False
False,True,2,1040.0,True,True,13.054202,77.674002,41.6,True,False,False
False,True,2,879.1208791000001,True,True,12.95161,80.14097,36.0,False,True,False
False,False,3,1350.308642,True,True,26.724219,88.326357,35.0,False,True,False
False,False,2,1333.010179,True,True,13.04034,77.591347,110.0,True,False,False
False,False,2,927.1779023,True,True,12.96991,77.59796,48.0,False,True,False
False,True,2,1122.1719460000002,True,True,28.587711,77.403123,62.0,False,True,False
False,False,1,649.9837504,True,True,13.0352,77.5772,20.0,False,True,False
True,True,3,1394.117647,False,True,28.429614,77.481711,71.1,True,False,False
False,False,3,1800.08471,True,True,20.275267000000003,85.86240699999999,85.0,False,True,False
True,True,3,2124.896706,False,True,12.8855,77.5638,180.0,True,False,False
False,False,2,1100.0,True,True,21.15389,79.08306,22.0,False,True,False
False,True,3,2178.649237,True,True,13.092356,77.61346800000001,120.0,True,False,False
False,False,2,881.1435285,True,True,13.05,80.11,45.0,False,True,False
False,False,2,944.8818898,True,True,18.452663,73.93104,42.0,True,False,False
False,True,3,1310.147689,True,True,28.5041,77.381557,55.0,True,False,False
False,False,1,630.00063,True,True,19.05444,72.84056,300.0,True,False,False
False,False,2,1219.80971,True,True,21.105779,79.078497,50.0,True,False,False
False,False,2,780.141844,True,True,22.54111,88.33778000000001,27.5,False,True,False
False,False,3,1600.0,True,True,28.63601,77.433724,46.0,False,True,False
False,False,2,1180.412371,True,True,30.712867,76.648557,22.9,True,False,False
True,False,2,1000.0,False,True,24.48,86.7,39.0,False,True,False
False,False,2,1000.0,True,True,28.2102,76.8606,12.5,True,False,False
False,False,3,1400.107701,True,True,28.404729999999997,77.367514,52.0,True,False,False
False,True,2,943.1266076,True,True,28.5041,77.381557,33.0,True,False,False
False,False,2,1150.146382,True,True,26.586306,74.873234,55.0,False,True,False
True,True,1,864.0674393999999,False,True,19.18,72.96333,82.0,True,False,False
False,True,2,857.7861968000001,True,False,19.1759,72.9522,240.0,True,False,False
False,False,3,1174.210077,True,True,12.852171,80.216826,55.0,False,True,False
True,True,2,1020.087884,False,True,18.5993,73.7625,65.0,True,False,False
False,False,4,1650.165017,True,True,22.312063,72.674296,65.0,False,True,False
True,False,2,1000.0,False,True,17.815234,83.35818,35.0,True,False,False
False,False,3,1300.052002,True,True,12.894088,77.548914,75.0,False,True,False
True,True,1,40606.19568,False,False,24.69028,78.41889,9110.0,True,False,False
False,True,2,1058.114928,True,True,18.539812,73.737678,65.0,True,False,False
True,False,1,400.0,False,True,18.5438,73.9438,30.0,True,False,False
False,True,3,1274.924779,True,True,22.803593,83.755013,250.0,True,False,False
False,False,2,1026.694045,True,True,19.014858,72.8662,220.0,True,False,False
False,False,2,1150.121065,True,True,20.366670000000003,72.9,38.0,False,True,False
False,False,3,1200.0,True,True,28.460928000000003,77.03939100000001,60.0,False,True,False
False,False,1,475.0103263,True,True,24.69028,78.41889,46.0,True,False,True
True,True,1,301.91711630000003,False,False,24.69028,78.41889,26.3,False,False,False
True,True,2,1228.571429,False,True,12.843852,74.845271,51.6,True,False,False
False,False,2,986.0164934,True,True,13.077175,80.151453,55.0,False,True,False
True,True,3,1972.565158,False,True,28.431862,77.351104,71.9,True,False,False
True,True,1,420.6166888,False,True,19.048403,72.88731,130.0,True,False,False
False,False,3,1275.009808,True,True,25.232239,71.392013,32.5,False,True,False
True,True,1,406.024219,False,False,19.245347,73.124577,39.9,True,False,False
False,False,3,1862.562189,True,True,28.431862,77.351104,59.9,True,False,False
False,False,2,950.0146156,True,True,19.88879,75.34344,65.0,False,True,False
False,True,4,5200.945626,True,True,28.567633,77.383124,110.0,False,True,False
False,False,2,1049.969344,True,True,12.985039,77.54383,68.5,True,False,False
False,False,3,1615.008157,True,True,22.589694,88.372957,99.0,True,False,False
False,False,3,1150.0069,True,True,19.014858,72.8662,250.0,True,False,False
False,False,2,1100.0,True,True,26.955346,75.73479300000001,27.5,False,True,False
True,True,2,906.2661833,False,False,24.69028,78.41889,70.0,True,False,False
False,False,3,1454.333915,True,True,10.77,76.38,50.0,False,True,False
False,False,3,1591.994542,True,True,28.506454,77.40956800000001,70.0,False,True,False
False,True,2,573.8769151,True,True,28.406388,77.342588,22.1,True,False,False
False,True,3,1038.883942,True,True,19.12,72.91,280.0,True,False,False
False,False,3,1538.141758,True,True,13.11389,77.59833,74.0,False,True,False
False,False,2,5000.0,True,True,26.850391,75.814198,85.0,False,True,False
False,False,3,1602.084012,True,True,28.368269,77.37273,49.2,True,False,False
False,False,2,1200.0,True,True,16.51667,80.61667,45.0,False,True,False
False,False,2,760.0709400000001,True,True,15.86667,74.5,60.0,False,True,False
True,False,2,739.8273736000001,False,True,23.25,77.41667,30.0,False,True,False
False,False,2,1260.02291,True,True,13.0915,74.7844,33.0,False,True,False
False,False,2,1100.151745,True,True,21.093676,79.111965,29.0,False,True,False
False,True,3,2293.077091,True,True,18.5438,73.9438,210.0,True,False,False
False,False,2,1146.480331,True,True,19.216097,72.821721,88.6,True,False,False
False,True,4,2224.059764,True,True,19.1615,72.8731,780.0,True,False,False
False,False,2,759.8784195000001,True,True,22.452032,88.298947,30.0,True,False,False
False,False,4,2260.251857,True,True,12.9506,77.5952,140.0,False,True,False
False,False,3,767.0182167,True,True,20.742166,80.104602,240.0,True,False,False
False,False,4,2500.0,True,True,28.66667,77.41667,160.0,False,True,False
True,True,4,2286.236854,False,True,21.0,77.0,100.0,True,False,False
False,True,2,1150.086256,True,True,28.577672999999997,77.389781,60.0,False,True,False
False,True,2,1004.932182,True,True,18.966114,73.148278,81.5,True,False,False
False,False,2,800.0,True,True,22.56972,88.36972,34.0,False,True,False
True,False,3,993.75,False,True,26.706157,88.439748,31.8,True,False,False
False,False,2,1298.139334,True,True,23.169982,77.477889,30.0,True,False,False
False,True,2,996.797438,True,True,26.900926,75.775927,24.9,True,False,False
False,False,2,985.0194952,True,True,12.98556,77.66389000000001,48.0,False,True,False
False,False,3,1118.75,True,True,12.91716,80.19287,53.7,True,False,False
False,True,2,889.8305085000001,True,True,28.506454,77.40956800000001,42.0,True,False,False
False,False,3,2738.22563,True,True,12.863421,77.652405,150.0,False,True,False
True,True,4,1725.4901960000002,False,False,19.049513,72.91920400000001,440.0,True,False,False
True,True,3,2488.004265,False,True,30.654128000000004,76.732427,140.0,True,False,False
False,False,3,1200.082764,True,True,23.207157,88.404471,58.0,True,False,False
False,False,2,1584.283904,True,True,26.459137,79.506922,100.0,True,False,False
False,False,2,900.0,True,True,23.2257,72.51679,18.0,False,True,False
False,True,2,1193.440032,True,True,18.441256,74.647361,60.4,True,False,False
False,False,2,1487.357462,True,True,26.8626,75.7633,30.0,False,True,False
True,True,2,989.9029895,False,True,28.5035,77.426447,50.0,False,True,False
False,False,2,1155.020213,True,True,19.147866,72.932609,140.0,True,False,False
False,False,2,949.893137,True,True,11.93,79.83,80.0,False,True,False
False,False,2,875.0,True,True,28.560719,77.386208,49.0,False,True,False
False,False,2,853.3611982000001,True,True,12.96991,77.59796,24.5,True,False,False
False,False,1,483.0917874,True,True,18.4543,73.1147,18.0,False,True,False
False,False,2,800.0,True,True,19.18,72.96333,95.0,True,False,False
False,False,2,802.0415602999999,True,True,28.66667,77.41667,22.0,False,True,False
False,True,2,610.0660905,True,True,13.069866,80.19842299999999,48.0,True,False,False
False,False,3,1680.107527,True,True,28.861993,78.756315,75.0,False,True,False
False,False,2,1150.136038,True,True,19.980678,79.297436,93.0,False,True,False
False,False,3,1550.114497,True,True,28.576117,77.382136,88.0,False,True,False
False,False,5,1699.834163,True,True,28.6711,77.3683,82.0,False,True,False
True,False,3,1600.170685,False,True,9.952439,76.36329649999999,75.0,False,True,False
False,False,1,600.0566091,True,True,18.75,73.08,21.2,False,True,False
False,True,2,1429.200617,True,True,30.661104,76.746082,64.9,True,False,False
False,False,2,1115.1379980000002,True,True,13.008071,77.65129499999999,80.0,False,True,False
False,False,4,2750.929368,True,True,27.216013,77.950834,74.0,True,False,False
False,False,3,1811.196487,True,True,23.35556,85.33471999999999,99.0,False,True,False
False,False,2,1045.036079,True,True,22.43917,88.39583,42.0,False,True,False
False,False,3,3433.996566,True,True,28.403138,77.070052,340.0,True,False,False
False,False,3,1298.219585,True,True,12.840956,77.659441,70.0,False,True,False
True,True,2,1109.165207,False,True,13.278237,74.747328,38.0,False,True,False
True,True,4,1304.034182,False,False,18.96,72.82,470.0,True,False,False
False,True,2,1041.195111,True,True,28.59632,77.38143000000001,46.0,True,False,False
False,False,3,2135.748916,True,True,28.394375,77.35722700000001,83.7,True,False,False
False,True,3,1850.180505,True,True,28.579004,77.431173,82.0,False,True,False
False,False,3,1665.080875,True,True,23.166495,72.63429000000001,70.0,True,False,False
False,True,2,398.2621289,True,True,26.707154,80.98234599999999,11.0,False,True,False
False,False,2,1005.025126,True,True,12.80009,77.71181999999999,48.0,False,True,False
False,True,4,4900.959771,True,True,18.5438,73.9438,240.0,True,False,False
False,True,2,1294.016156,True,True,19.128324,72.825408,330.0,True,False,False
False,True,3,1536.806516,True,True,28.6423,77.3445,100.0,True,False,False
False,False,2,1123.188406,True,True,12.9816,77.6729,62.0,False,True,False
False,False,2,800.1939864,True,True,26.955346,75.73479300000001,16.5,True,False,False
False,True,4,2655.8073649999997,True,True,19.239813,72.962722,300.0,True,False,False
False,False,3,1513.775356,True,True,12.905368,77.580403,100.0,True,False,False
False,False,3,1280.0,True,True,9.930471,76.271273,48.0,False,True,False
False,False,1,410.0678733,True,True,28.568846,77.324966,14.5,False,True,False
False,False,4,3429.355281,True,True,22.312063,72.674296,100.0,True,False,False
False,False,2,890.0451868999999,True,True,28.582887,77.339935,65.0,True,False,False
False,False,2,977.7082519,True,True,22.1764,75.8193,25.0,False,True,False
False,False,2,1099.855282,True,True,12.977126,77.577724,38.0,True,False,False
True,False,2,1050.241272,False,True,26.29564,73.03943000000001,37.0,False,True,False
False,True,3,1400.241838,True,True,26.900926,75.775927,57.9,True,False,False
False,False,3,1740.139211,True,True,19.048979,73.078232,180.0,True,False,False
False,True,2,1149.131767,True,True,24.69028,78.41889,180.0,True,False,False
False,False,2,650.1950585,True,True,11.026678,76.903583,20.0,True,False,False
False,False,2,1355.01355,True,True,26.878068,75.77985600000001,85.0,False,True,False
False,False,3,1800.0720030000002,True,True,12.96991,77.59796,150.0,True,False,False
False,True,2,907.6305221,True,True,21.56128,74.21238000000001,33.9,True,False,False
False,False,3,1636.296021,True,True,13.141581,77.749756,88.0,True,False,False
False,False,2,900.2520706,True,True,22.261354,73.215533,25.0,False,True,False
False,False,2,1318.0440230000002,True,True,12.905538,77.694263,100.0,False,True,False
False,True,3,1949.586451,True,True,30.684523,76.691728,99.0,True,False,False
False,False,3,1643.36522,True,True,9.930471,76.271273,67.0,True,False,False
False,False,3,1233.045623,True,True,18.96,72.82,210.0,True,False,False
False,False,1,655.0802139,True,True,18.964489,73.019574,49.0,True,False,False
False,False,2,1180.173092,True,True,12.96991,77.59796,75.0,False,True,False
False,False,3,1200.087279,True,True,28.6711,77.3683,55.0,False,True,False
False,False,4,6974.645114,True,True,22.53028,88.33417,1700.0,True,False,False
True,True,4,2700.075602,False,True,28.535689,77.35967099999999,250.0,False,True,False
False,False,2,850.0991782,True,True,26.928785,75.828002,30.0,False,True,False
True,True,4,2636.296531,False,True,12.8855,77.5638,250.0,True,False,False
False,False,2,900.0163639,True,True,12.928575,77.58572099999999,55.0,False,True,False
True,False,4,2472.952087,False,True,18.475864,73.89000899999999,160.0,True,False,False
False,False,2,904.0656205,True,True,20.098413,79.10786,50.7,True,False,False
True,True,1,265.0033933,False,True,19.1145,72.8712,82.0,True,False,False
True,True,3,1570.306924,False,True,26.16667,75.78333,110.0,True,False,False
False,False,2,955.4140127,True,True,19.255098,72.9815265,150.0,True,False,False
